index,value,lower,upper
prag=~mutual_exclusivity,1.26611686957075,0.2392488135193444,2.8429544030829867
prag=~simple_inf,0.632383821455591,-0.03666375770387779,1.3533781514589824
ad_hoc_implicature~~ad_hoc_implicature,0.665250393441048,0.24768969801554053,1.0552227421910225
mutual_exclusivity~~mutual_exclusivity,0.665741924586828,0.19706918356179587,1.0570717175006523
simple_inf~~simple_inf,0.937868659442167,0.6813494285515421,1.2031369142922161
prag~~prag,0.344481353999934,1.3198726351376994e-4,0.7448343139910937
card~~card,1.03354268179434,0.7926064650617872,1.2971669749385266
match~~match,1.0362911237283,0.786110494041515,1.3149527282791451
prag~~card,0.195824209520425,0.010334097966000717,0.3812059911799902
prag~~match,0.0392559882499435,-0.10793080128279933,0.18687055943970973
card~~match,-0.0348562709634913,-0.21491247444044906,0.15521727823153283
ad_hoc_implicature~1,-0.00111236705772275,-0.17858804281072416,0.17284546106754267
mutual_exclusivity~1,-0.000283882470725351,-0.17948663941183904,0.1778839050723374
simple_inf~1,-0.000659541335245207,-0.17444140447975043,0.18172860064619248
card_sorting~1,0.00112513537825477,-0.175252909985478,0.1800739788473961
match_to_sample~1,-0.000781145753999195,-0.17508341311732573,0.1794598621513419
