index,fit1,fit2,fit3
npar,16,15,17
logl,-861.749880066268,-865.92565008438,-870.609201894028
ppp,0.497,0.4252,0.0154499999999998
bic,1800.4947098185,1804.03406549935,1823.02553782939
dic,1751.78035657206,1747.24506441123,1773.58339156628
p_dic,14.1402982197624,7.69688212123424,16.1824938891145
waic,1753.44728591116,1754.86969810813,1773.56835011747
p_waic,15.2451262638191,14.7879981503878,15.5625031291503
se_waic,32.0052220768814,32.2645742505709,32.6737606588688
looic,1753.54931520144,1754.93974188864,1773.67078629318
p_loo,15.2961409089573,14.8230200406394,15.6137212170051
se_loo,32.0248008639077,32.2766512837168,32.6931151317474
margloglik,-907.801267753826,-909.931647245341,-915.759697633139
